detectorName,detectorNum,detectorID,energy_calib,time_calib,time_offset
hodo_y,0,0,1,1,0
hodo_y,1,1,1.072737713,1,0
hodo_y,2,2,1.055132587,1,0
hodo_y,3,3,1.059953014,1,0
hodo_y,4,4,1.017718497,1,0
hodo_y,5,5,1.058853069,1,0
hodo_y,6,6,1.0612033,1,0
hodo_y,7,7,1.05013265,1,0
hodo_y,8,8,1.029529993,1,0
hodo_y,9,9,1.03137674,1,0
hodo_y,10,10,1.055717366,1,0
hodo_y,11,11,1,1,0
hodo_x,0,12,1,1,0
hodo_x,1,13,1,1,0
hodo_x,2,14,1.040297882,1,0
hodo_x,3,15,1.018362746,1,0
hodo_x,4,16,1.08965123,1,0
hodo_x,5,17,1,1,0
hodo_x,6,18,1.067348807,1,0
hodo_x,7,19,1.032482949,1,0
hodo_x,8,20,1.061229039,1,0
hodo_x,9,21,0.9655564687,1,0
hodo_x,10,22,1.060473398,1,0
hodo_x,11,23,1,1,0
lyso,0,0,1,1,0
lyso,1,2,1,1,0
lyso,2,1,1,1,0
lyso,3,3,1,1,0
lyso,4,4,1,1,0
lyso,5,7,1,1,0
lyso,6,8,1,1,0
lyso,7,6,1,1,0
lyso,8,9,1,1,0
lyso,9,5,1,1,0
nai,0,0,1,1,0
nai,1,1,1,1,0
nai,2,2,1,1,0
nai,3,3,1,1,0
t0,0,0,1,1,0
veto,0,0,1,1,0
rf,0,0,1,1,0
monitor,0,0,1,1,0
monitor,1,1,1,1,0